Fecha entrada,Fecha Anulacion,Fecha venta,Noches,Tip_Hab_Fra,R_Factura,AD,NI,CU,Horario_Venta,P_Alojamiento,P_Desayuno,P_Almuerzo,P_Cena,Cantidad_Habitaciones,Mes_Entrada,Mes_Venta,Antelacion,Score Canc
2016-06-24,2016-03-11,2016-02-05,2,EC,MPC,3,0,0,Ma̱ana,209.02,9.72,0.0,24.3,2,June,February,140,0.2482269503546099
2016-07-08,2016-05-19,2016-02-09,3,DSC,MPC,1,0,0,Ma̱ana,110.49,5.13,0.0,12.84,2,July,February,150,0.6622516556291391
2016-07-11,2016-06-10,2016-02-11,4,EC,SA,2,0,0,Tarde,256.1,0.0,0.0,0.0,1,July,February,151,0.7894736842105263
2016-07-11,2016-05-19,2016-02-19,2,DSC,MPC,2,0,0,Ma̱ana,101.26,4.72,0.0,11.78,2,July,February,143,0.625
2016-07-10,2016-02-22,2016-02-11,5,EC,PC,2,2,0,Ma̱ana,0.0,0.0,0.0,0.0,1,July,February,150,0.0728476821192053
2016-06-25,2016-02-22,2016-02-12,7,EC,PC,2,2,0,Ma̱ana,0.0,0.0,0.0,0.0,1,June,February,134,0.074074074074074
2016-07-15,2016-06-02,2016-03-01,16,IND,SA,1,0,0,Ma̱ana,944.94,0.0,0.0,0.0,1,July,March,136,0.6788321167883211
2016-08-01,2016-06-02,2016-03-01,14,IND,SA,1,0,0,Ma̱ana,1002.12,0.0,0.0,0.0,1,August,March,153,0.6038961038961039
2016-07-07,2016-05-03,2016-03-02,3,EC,MPA,2,0,0,Ma̱ana,188.97,8.790000000000001,21.99,0.0,1,July,March,127,0.484375
2016-08-01,2016-05-25,2016-03-02,14,EC,MPA,2,0,0,Ma̱ana,1232.0,57.26,143.22,0.0,1,August,March,152,0.5490196078431373
2016-06-15,2016-06-10,2016-03-03,4,EC,MPC,2,0,1,Ma̱ana,252.04,11.72,0.0,29.32,1,June,March,104,0.9428571428571428
2016-07-18,2016-03-04,2016-03-03,4,EM,SA,2,1,0,Tarde,499.6,0.0,0.0,0.0,1,July,March,137,0.0072463768115942
2016-06-24,2016-03-05,2016-03-03,2,EC,PC,2,0,0,Tarde,187.84,9.88,24.72,24.72,1,June,March,113,0.0175438596491228
2016-06-24,2016-05-22,2016-03-03,4,EC,PC,2,0,0,Ma̱ana,375.68,19.76,49.44,49.44,1,June,March,113,0.7017543859649122
2016-06-23,2016-06-16,2016-03-04,7,EC,PC,2,2,0,Ma̱ana,904.05,47.6,118.93,118.93,1,June,March,111,0.9285714285714286
2016-07-28,2016-07-15,2016-03-05,9,EC,SA,4,0,0,Ma̱ana,925.65999,0.0,0.0,0.0,1,July,March,145,0.904109589041096
2016-06-24,2016-04-30,2016-03-07,8,EC,PC,3,0,0,Ma̱ana,773.76,40.72,101.84,101.84,1,June,March,109,0.4909090909090909
2016-07-01,2016-03-07,2016-03-07,14,EM,PC,2,0,0,Ma̱ana,0.0,0.0,0.0,0.0,1,July,March,116,0.0
2016-07-09,2016-05-19,2016-03-07,5,EC,SA,2,1,0,Ma̱ana,257.7,0.0,0.0,0.0,1,July,March,124,0.5840000000000001
2016-06-25,2016-04-23,2016-03-08,3,EC,SA,2,0,0,Ma̱ana,171.78,0.0,0.0,0.0,1,June,March,109,0.4181818181818182
2016-06-24,2016-06-23,2016-03-08,2,EC,SA,2,1,0,Ma̱ana,184.8,0.0,0.0,0.0,1,June,March,108,0.981651376146789
2016-06-17,2016-03-11,2016-03-10,2,EC,HD,2,1,0,Tarde,201.8,8.4,0.0,0.0,1,June,March,99,0.01
2016-07-04,2016-04-07,2016-03-10,14,EC,PC,2,1,0,Ma̱ana,1296.09998,68.18,170.51999999999998,170.51999999999998,1,July,March,116,0.2393162393162393
2016-06-24,2016-03-14,2016-03-10,2,EC,MPC,2,1,0,Ma̱ana,0.0,0.0,0.0,0.0,2,June,March,106,0.0373831775700934
2016-06-24,2016-03-14,2016-03-10,2,EC,MPC,2,1,0,Ma̱ana,0.0,0.0,0.0,0.0,2,June,March,106,0.0373831775700934
2016-06-24,2016-05-19,2016-03-10,2,EC,MPC,2,2,0,Ma̱ana,186.82,8.68,0.0,21.72,4,June,March,106,0.6542056074766356
2016-06-24,2016-05-19,2016-03-10,2,EC,MPC,2,2,0,Ma̱ana,186.82,8.68,0.0,21.72,4,June,March,106,0.6542056074766356
2016-06-24,2016-05-19,2016-03-10,2,EC,MPC,2,2,0,Ma̱ana,186.82,8.68,0.0,21.72,4,June,March,106,0.6542056074766356
2016-06-17,2016-03-22,2016-03-11,2,EC,MPC,2,1,0,Ma̱ana,219.2,10.2,0.0,25.5,1,June,March,98,0.1111111111111111
2016-06-24,2016-05-19,2016-03-12,2,EC,HD,3,0,1,Ma̱ana,139.4,5.8,0.0,0.0,2,June,March,104,0.6476190476190475
2016-06-24,2016-05-18,2016-03-12,2,EC,MPA,2,1,0,Ma̱ana,157.5,7.32,18.32,0.0,2,June,March,104,0.638095238095238
2016-07-24,2016-05-25,2016-03-11,13,DSC,MPC,2,0,0,Ma̱ana,1306.435,60.71,0.0,151.84,2,July,March,135,0.5514705882352942
2016-07-24,2016-05-25,2016-03-11,13,DSC,MPC,2,0,0,Ma̱ana,1306.435,60.71,0.0,151.84,2,July,March,135,0.5514705882352942
2016-07-04,2016-06-08,2016-03-11,7,EM,PC,2,1,0,Ma̱ana,861.91,45.36,113.4,113.4,1,July,March,115,0.7672413793103449
2016-07-31,2016-06-06,2016-03-14,7,DSC,MPC,4,0,0,Ma̱ana,1207.80002,56.21,0.0,140.42,1,July,March,139,0.6
2016-06-23,2016-05-03,2016-03-14,3,EC,PC,2,0,0,Tarde,281.76,14.82,37.08,37.08,1,June,March,101,0.4901960784313726
2016-08-29,2016-03-23,2016-03-15,6,DSC,SA,2,0,0,Ma̱ana,620.65998,0.0,0.0,0.0,1,August,March,167,0.0476190476190476
2016-06-24,2016-03-16,2016-03-15,9,EC,PC,2,0,0,Ma̱ana,584.82,30.78,76.95,76.95,1,June,March,101,0.0098039215686274
2016-06-26,2016-03-29,2016-03-16,5,DSC,PC,2,0,0,Ma̱ana,480.18,25.3,63.2,63.2,2,June,March,102,0.1262135922330097
2016-06-26,2016-03-29,2016-03-16,5,DSC,PC,2,0,0,Ma̱ana,480.18,25.3,63.2,63.2,2,June,March,102,0.1262135922330097
2016-07-02,2016-06-16,2016-03-18,5,EC,SA,2,0,0,Ma̱ana,244.8,0.0,0.0,0.0,1,July,March,106,0.8411214953271028
2016-07-18,2016-06-28,2016-03-18,5,EC,PC,2,2,0,Tarde,514.875,27.1,67.75,67.75,2,July,March,122,0.8292682926829268
2016-07-18,2016-06-28,2016-03-18,5,EC,PC,2,0,0,Tarde,514.875,27.1,67.75,67.75,2,July,March,122,0.8292682926829268
2016-07-11,2016-06-14,2016-03-19,3,EC,SA,2,0,0,Ma̱ana,154.59,0.0,0.0,0.0,1,July,March,114,0.7565217391304347
2016-07-11,2016-06-23,2016-03-21,3,EC,PC,4,0,0,Ma̱ana,321.36,16.919999999999998,42.3,42.3,1,July,March,112,0.831858407079646
2016-08-17,2016-05-31,2016-03-21,5,EC,PC,1,0,0,Ma̱ana,404.3,21.3,53.2,53.2,1,August,March,149,0.4733333333333334
2016-07-16,2016-03-28,2016-03-28,8,EC,PC,4,0,0,Ma̱ana,1348.36,70.96,177.44,177.44,1,July,March,110,0.0
2016-06-27,2016-03-28,2016-03-28,4,DSC,PC,3,0,0,Ma̱ana,352.82,18.56,46.44,46.44,3,June,March,91,0.0
2016-06-25,2016-04-14,2016-03-28,8,EC,SA,2,1,0,Ma̱ana,636.88,0.0,0.0,0.0,1,June,March,89,0.1888888888888888
2016-06-24,2016-06-06,2016-03-29,2,SUITE,SA,4,0,0,Ma̱ana,435.82,0.0,0.0,0.0,1,June,March,87,0.7840909090909091
2016-07-23,2016-07-07,2016-03-29,6,EM,SA,2,0,1,Ma̱ana,663.45,0.0,0.0,0.0,1,July,March,116,0.8547008547008547
2016-07-11,2016-04-27,2016-03-29,4,EC,HD,2,0,0,Tarde,242.41,10.08,0.0,0.0,1,July,March,104,0.2761904761904762
2016-06-22,2016-03-31,2016-03-29,5,EM,SA,4,0,0,Tarde,556.12,0.0,0.0,0.0,1,June,March,85,0.0232558139534884
2016-08-02,2016-04-29,2016-03-30,7,DVM,HD,2,0,0,Ma̱ana,1182.95002,49.28,0.0,0.0,1,August,March,125,0.2380952380952381
2016-07-01,2016-04-12,2016-03-31,7,EC,PC,3,0,0,Ma̱ana,666.4699999999999,35.07,87.71,87.71,1,July,March,92,0.1290322580645161
2016-06-18,2016-05-11,2016-03-31,1,EC,HD,4,0,0,Ma̱ana,128.64,5.36,0.0,0.0,1,June,March,79,0.5125
2016-07-22,2016-05-19,2016-04-01,6,EC,PC,1,0,0,Ma̱ana,393.12,20.700000000000003,51.72,51.72,1,July,April,112,0.4247787610619469
2016-06-18,2016-06-14,2016-04-01,1,EC,SA,2,0,0,Ma̱ana,73.92,0.0,0.0,0.0,1,June,April,78,0.9367088607594936
2016-09-08,2016-06-06,2016-04-02,3,EC,PC,4,0,0,Tarde,385.56000000000006,20.28,50.73,50.73,1,September,April,159,0.40625
2016-09-08,2016-06-06,2016-04-02,3,EC,PC,3,0,0,Tarde,378.54,19.92,49.8,49.8,1,September,April,159,0.40625
2016-09-08,2016-06-06,2016-04-02,3,EC,PC,3,0,0,Tarde,331.11,17.43,43.56,43.56,1,September,April,159,0.40625
2016-09-08,2016-06-06,2016-04-02,3,EC,PC,4,0,0,Tarde,364.23,19.17,47.91,47.91,1,September,April,159,0.40625
2016-09-08,2016-06-06,2016-04-02,3,EC,PC,4,0,0,Tarde,423.81000000000006,22.32,55.77,55.77,1,September,April,159,0.40625
2016-09-08,2016-06-06,2016-04-02,3,EC,PC,4,0,0,Tarde,364.23,19.17,47.91,47.91,1,September,April,159,0.40625
2016-07-10,2016-05-26,2016-04-03,3,EM,SA,2,1,0,Tarde,299.79,0.0,0.0,0.0,1,July,April,98,0.5353535353535354
2016-07-03,2016-07-01,2016-04-04,5,EC,PC,2,0,1,Ma̱ana,393.66,20.7,51.8,51.8,1,July,April,90,0.967032967032967
2016-08-21,2016-07-21,2016-04-04,5,EC,PC,2,0,0,Tarde,525.95,27.7,69.2,69.2,1,August,April,139,0.7714285714285715
2016-07-10,2016-07-01,2016-04-04,4,EM,SA,2,1,0,Tarde,399.72,0.0,0.0,0.0,1,July,April,97,0.8979591836734694
2016-07-31,2016-04-05,2016-04-04,10,EC,MPC,2,0,0,Ma̱ana,0.0,0.0,0.0,0.0,1,July,April,118,0.0084033613445377
2016-07-31,2016-04-18,2016-04-05,10,EC,MPC,2,0,0,Tarde,992.8,46.2,0.0,115.5,1,July,April,117,0.1101694915254237
2016-06-22,2016-06-08,2016-04-05,4,EM,PC,4,0,0,Noche,447.04,23.52,58.84,58.84,1,June,April,78,0.810126582278481
2016-06-24,2016-06-20,2016-04-05,2,EM,PC,3,1,0,Noche,234.42666,12.34,30.84,30.84,3,June,April,80,0.9382716049382716
2016-06-24,2016-06-20,2016-04-05,2,EM,PC,2,1,0,Noche,234.42666,12.34,30.84,30.84,3,June,April,80,0.9382716049382716
2016-06-24,2016-06-20,2016-04-05,2,EM,PC,3,0,0,Noche,234.42666,12.34,30.84,30.84,3,June,April,80,0.9382716049382716
2016-08-13,2016-04-06,2016-04-06,7,DSC,MPC,2,0,0,Ma̱ana,0.0,0.0,0.0,0.0,4,August,April,129,0.0
2016-08-13,2016-04-06,2016-04-06,7,DSC,MPC,1,0,0,Ma̱ana,0.0,0.0,0.0,0.0,4,August,April,129,0.0
2016-08-21,2016-04-06,2016-04-06,6,DSC,MPC,1,0,0,Tarde,0.0,0.0,0.0,0.0,2,August,April,137,0.0
2016-07-04,2016-04-20,2016-04-06,4,EM,SA,2,1,0,Tarde,399.72,0.0,0.0,0.0,1,July,April,89,0.1555555555555555
2016-07-16,2016-07-01,2016-04-06,8,DSC,PC,2,0,0,Tarde,933.58,49.12,122.8,122.8,2,July,April,101,0.8431372549019608
2016-07-16,2016-07-01,2016-04-06,8,DSC,PC,2,0,0,Tarde,933.58,49.12,122.8,122.8,2,July,April,101,0.8431372549019608
2016-06-27,2016-04-26,2016-04-06,2,EC,HD,2,2,0,Ma̱ana,221.98,9.24,0.0,0.0,1,June,April,82,0.2409638554216867
2016-06-24,2016-06-14,2016-04-08,2,EC,PC,4,0,0,Ma̱ana,220.5,11.6,29.02,29.02,2,June,April,77,0.858974358974359
2016-06-24,2016-06-13,2016-04-08,2,EC,PC,4,0,0,Ma̱ana,220.5,11.6,29.02,29.02,2,June,April,77,0.8461538461538461
2016-06-24,2016-05-30,2016-04-08,2,EC,PC,4,0,0,Ma̱ana,220.5,11.6,29.02,29.02,1,June,April,77,0.6666666666666667
2016-06-24,2016-06-13,2016-04-08,2,EC,PC,3,0,0,Ma̱ana,200.44,10.56,26.38,26.38,2,June,April,77,0.8461538461538461
2016-06-24,2016-06-13,2016-04-08,2,EC,PC,3,0,0,Ma̱ana,200.44,10.56,26.38,26.38,2,June,April,77,0.8461538461538461
2016-06-24,2016-06-13,2016-04-08,2,EC,PC,3,0,0,Ma̱ana,200.44,10.56,26.38,26.38,1,June,April,77,0.8461538461538461
2016-06-24,2016-06-20,2016-04-08,2,EC,PC,4,0,0,Tarde,290.92,15.32,38.28,38.28,1,June,April,77,0.935897435897436
2016-08-02,2016-07-19,2016-04-08,8,EM,MPC,3,0,1,Tarde,1361.32,63.36,0.0,158.32,1,August,April,116,0.8717948717948718
2016-06-20,2016-04-14,2016-04-08,4,EC,MPC,2,0,0,Tarde,268.76,12.52,0.0,31.24,1,June,April,73,0.081081081081081
2016-07-07,2016-04-21,2016-04-08,3,EM,MPC,2,1,0,Tarde,254.57001,11.85,0.0,29.61,1,July,April,90,0.1428571428571429
2016-06-24,2016-04-27,2016-04-11,2,EM,HD,2,0,0,Ma̱ana,133.92,5.58,0.0,0.0,1,June,April,74,0.2133333333333333
2016-06-24,2016-05-13,2016-04-11,2,EC,PC,4,0,0,Ma̱ana,220.5,11.6,29.02,29.02,1,June,April,74,0.4266666666666666
2016-06-21,2016-04-12,2016-04-11,5,EM,HD,2,0,0,Tarde,432.5,18.0,0.0,0.0,1,June,April,71,0.0138888888888888
2016-07-08,2016-05-25,2016-04-12,6,EC,MPC,2,0,0,Ma̱ana,432.72,20.1,0.0,50.34,1,July,April,87,0.4886363636363636
2016-08-04,2016-06-23,2016-04-12,6,DVM,MPC,2,0,0,Ma̱ana,1004.29998,46.68,0.0,116.76,1,August,April,114,0.6260869565217391
2016-06-15,2016-04-13,2016-04-12,9,EC,SA,2,0,0,Ma̱ana,621.72,0.0,0.0,0.0,1,June,April,64,0.0153846153846153
2016-07-14,2016-06-27,2016-04-12,4,EC,SA,2,0,0,Noche,318.48,0.0,0.0,0.0,1,July,April,93,0.8085106382978724
2016-07-04,2016-04-14,2016-04-12,5,EC,SA,2,0,0,Noche,318.4,0.0,0.0,0.0,1,July,April,83,0.0238095238095238
2016-07-18,2016-04-14,2016-04-13,5,EC,PC,1,0,0,Ma̱ana,387.09,20.35,50.95,50.95,5,July,April,96,0.0103092783505154
2016-07-18,2016-04-14,2016-04-13,5,EC,PC,2,0,0,Ma̱ana,645.15,33.95,84.9,84.9,5,July,April,96,0.0103092783505154
2016-07-18,2016-04-13,2016-04-13,5,EC,PC,1,0,0,Ma̱ana,387.09,20.35,50.95,50.95,5,July,April,96,0.0
2016-07-18,2016-04-13,2016-04-13,5,EC,PC,1,0,0,Ma̱ana,387.09,20.35,50.95,50.95,5,July,April,96,0.0
2016-07-18,2016-04-13,2016-04-13,5,EC,PC,1,0,0,Ma̱ana,387.09,20.35,50.95,50.95,5,July,April,96,0.0
2016-07-18,2016-04-14,2016-04-13,5,EC,MPC,2,2,0,Ma̱ana,682.35,31.75,0.0,79.35,1,July,April,96,0.0103092783505154
2016-06-24,2016-04-15,2016-04-14,2,EC,PC,2,0,0,Ma̱ana,160.36,8.44,21.1,21.1,1,June,April,71,0.0138888888888888
2016-06-26,2016-06-20,2016-04-14,8,EC,SA,2,1,1,Ma̱ana,544.0,0.0,0.0,0.0,1,June,April,73,0.9054054054054054
2016-06-26,2016-06-21,2016-04-14,8,EC,SA,2,1,0,Ma̱ana,544.0,0.0,0.0,0.0,1,June,April,73,0.9189189189189187
2016-08-01,2016-04-14,2016-04-14,14,DSC,MPC,2,0,0,Tarde,0.0,0.0,0.0,0.0,3,August,April,109,0.0
2016-06-24,2016-06-14,2016-04-15,2,EC,PC,4,0,0,Ma̱ana,209.5,11.02,27.56,27.56,1,June,April,70,0.8450704225352113
2016-07-01,2016-06-22,2016-04-15,2,DSM,HD,2,0,0,Tarde,119.04,4.96,0.0,0.0,1,July,April,77,0.8717948717948718
2016-08-23,2016-04-27,2016-04-16,7,DSC,SA,1,1,1,Tarde,609.17997,0.0,0.0,0.0,2,August,April,129,0.0846153846153846
2016-08-23,2016-04-27,2016-04-16,7,DSC,SA,1,1,0,Tarde,609.17997,0.0,0.0,0.0,2,August,April,129,0.0846153846153846
2016-06-23,2016-06-03,2016-04-15,3,EC,SA,2,1,0,Tarde,277.20000000000005,0.0,0.0,0.0,1,June,April,69,0.7
2016-08-14,2016-07-29,2016-04-18,3,EC,PC,2,0,0,Ma̱ana,397.65,20.94,52.32000000000001,52.32000000000001,1,August,April,118,0.8571428571428572
2016-07-04,2016-06-28,2016-04-18,4,EM,MPC,3,0,0,Tarde,538.16,25.04,0.0,62.56,1,July,April,77,0.9102564102564102
2016-07-04,2016-06-28,2016-04-18,4,DSC,MPC,2,0,0,Tarde,354.76,16.52,0.0,41.24,2,July,April,77,0.9102564102564102
2016-07-04,2016-06-28,2016-04-18,4,DSC,MPC,2,0,0,Tarde,354.76,16.52,0.0,41.24,2,July,April,77,0.9102564102564102
2016-06-27,2016-05-24,2016-04-19,2,DSC,SA,2,0,0,Ma̱ana,107.55,0.0,0.0,0.0,2,June,April,69,0.5
2016-06-27,2016-05-24,2016-04-19,2,DSC,SA,3,0,0,Ma̱ana,107.55,0.0,0.0,0.0,2,June,April,69,0.5
2016-08-02,2016-04-22,2016-04-19,7,EC,MPC,2,0,0,Noche,694.96,32.34,0.0,80.85000000000001,1,August,April,105,0.0283018867924528
2016-07-04,2016-04-30,2016-04-19,4,EC,PC,4,0,0,Noche,396.24,20.84,52.12,52.12,1,July,April,76,0.1428571428571429
2016-06-17,2016-06-05,2016-04-20,2,EM,MPC,2,0,1,Ma̱ana,152.24,7.08,0.0,17.7,1,June,April,58,0.7796610169491526
2016-07-08,2016-06-10,2016-04-20,2,EM,MPC,2,0,0,Tarde,194.36,9.04,0.0,22.6,1,July,April,79,0.6375
2016-07-04,2016-07-05,2016-04-20,7,DSM,PC,2,0,1,Tarde,840.56,44.24,110.6,110.6,1,July,April,75,1.0
2016-07-08,2016-04-22,2016-04-21,8,EC,PC,2,0,0,Ma̱ana,724.34664,38.16,95.36,95.36,3,July,April,78,0.0126582278481012
2016-07-08,2016-04-22,2016-04-21,8,EC,PC,2,0,0,Ma̱ana,724.34664,38.16,95.36,95.36,3,July,April,78,0.0126582278481012
2016-07-08,2016-04-22,2016-04-21,8,EC,PC,4,0,0,Ma̱ana,724.34664,38.16,95.36,95.36,3,July,April,78,0.0126582278481012
2016-07-01,2016-04-22,2016-04-21,8,EC,PC,2,0,0,Ma̱ana,685.46664,36.08,90.24,90.24,3,July,April,71,0.0138888888888888
2016-07-01,2016-04-22,2016-04-21,8,EC,PC,2,0,0,Ma̱ana,685.46664,36.08,90.24,90.24,3,July,April,71,0.0138888888888888
2016-07-01,2016-04-22,2016-04-21,8,EC,PC,2,0,0,Ma̱ana,685.46664,36.08,90.24,90.24,3,July,April,71,0.0138888888888888
2016-06-24,2016-06-01,2016-04-21,3,EC,HD,2,0,0,Ma̱ana,242.16,10.08,0.0,0.0,3,June,April,64,0.6307692307692307
2016-07-08,2016-06-27,2016-04-21,8,EC,PC,3,0,0,Tarde,751.24,39.52,98.88,98.88,3,July,April,78,0.8481012658227848
2016-07-08,2016-06-27,2016-04-21,8,EC,PC,3,0,0,Tarde,751.24,39.52,98.88,98.88,3,July,April,78,0.8481012658227848
2016-07-08,2016-06-27,2016-04-21,8,EC,PC,2,0,0,Tarde,751.24,39.52,98.88,98.88,3,July,April,78,0.8481012658227848
2016-07-01,2016-06-20,2016-04-21,8,EC,PC,3,0,0,Tarde,710.93336,37.44,93.52,93.52,3,July,April,71,0.8333333333333334
2016-07-01,2016-06-20,2016-04-21,8,EC,PC,3,0,0,Tarde,710.93336,37.44,93.52,93.52,3,July,April,71,0.8333333333333334
2016-07-01,2016-06-20,2016-04-21,8,EC,PC,2,0,0,Tarde,710.93336,37.44,93.52,93.52,3,July,April,71,0.8333333333333334
2016-07-18,2016-06-02,2016-04-22,4,EC,PC,2,0,0,Ma̱ana,353.12,18.6,46.48,46.48,1,July,April,87,0.4659090909090909
2016-07-26,2016-05-05,2016-04-22,5,EC,MPC,2,2,0,Ma̱ana,577.95,26.9,0.0,67.2,1,July,April,95,0.1354166666666666
2016-08-02,2016-05-07,2016-04-22,7,EC,MPC,2,0,0,Tarde,790.7599700000001,36.75,0.0,91.98,1,August,April,102,0.1456310679611651
2016-07-24,2016-06-27,2016-04-22,6,EC,MPC,2,0,0,Tarde,511.59,23.82,0.0,59.46,1,July,April,93,0.7021276595744681
2016-07-09,2016-06-22,2016-04-24,7,EM,MPC,2,0,0,Ma̱ana,540.3600299999999,25.13,0.0,62.86,1,July,April,76,0.7662337662337663
2016-06-22,2016-05-03,2016-04-25,4,DSC,PC,4,0,0,Ma̱ana,483.68,25.44,63.64,63.64,1,June,April,58,0.135593220338983
2016-06-26,2016-05-14,2016-04-25,7,DSM,MPC,3,0,0,Ma̱ana,928.17998,43.19,0.0,107.94,1,June,April,62,0.3015873015873016
2016-07-18,2016-06-21,2016-04-25,6,DSM,PC,4,0,0,Tarde,1202.05998,63.24,158.16,158.16,1,July,April,84,0.6705882352941177
2016-06-26,2016-05-09,2016-04-25,7,EC,MPC,2,1,0,Noche,599.69,27.86,0.0,69.72,1,June,April,62,0.2222222222222222
2016-06-17,2016-06-09,2016-04-25,2,EC,SA,2,0,0,Noche,147.84,0.0,0.0,0.0,1,June,April,53,0.8333333333333334
2016-08-15,2016-04-27,2016-04-26,5,EC,MPC,2,0,0,Tarde,675.38,31.4,0.0,78.55000000000001,1,August,April,111,0.0089285714285713
2016-06-28,2016-06-14,2016-04-06,2,EC,HD,2,2,0,Tarde,221.98,9.24,0.0,0.0,1,June,April,83,0.8214285714285714
2016-07-11,2016-05-31,2016-03-29,4,EC,HD,2,0,0,Ma̱ana,242.41,10.08,0.0,0.0,1,July,March,104,0.6
